12 9
253,253,253 247,247,247 242,242,242 249,249,249 224,224,224 253,253,253 254,254,254 215,215,215 248,248,248
221,221,221 221,221,221 217,217,217 8,8,8 4,4,4 246,246,246 248,248,248 223,223,223 253,253,253
240,240,240 255,255,255 9,9,9 2,2,2 1,1,1 248,248,248 246,246,246 218,218,218 241,241,241
251,251,251 0,0,0 0,0,0 6,6,6 5,5,5 226,226,226 216,216,216 219,219,219 225,225,225
212,212,212 255,255,255 251,251,251 2,2,2 9,9,9 221,221,221 252,252,252 213,213,213 233,233,233
232,232,232 244,244,244 254,254,254 2,2,2 6,6,6 215,215,215 250,250,250 228,228,228 250,250,250
229,229,229 242,242,242 255,255,255 0,0,0 0,0,0 230,230,230 250,250,250 226,226,226 249,249,249
216,216,216 252,252,252 248,248,248 3,3,3 11,11,11 216,216,216 253,253,253 225,225,225 248,248,248
228,228,228 238,238,238 249,249,249 7,7,7 0,0,0 218,218,218 245,245,245 218,218,218 251,251,251
215,215,215 255,255,255 252,252,252 1,1,1 2,2,2 228,228,228 248,248,248 229,229,229 254,254,254
184,184,184 2,2,2 0,0,0 6,6,6 1,1,1 2,2,2 2,2,2 209,209,209 255,255,255
204,204,204 230,230,230 216,216,216 185,185,185 225,225,225 216,216,216 247,247,247 235,235,235 253,253,253
