12 9
244,244,244 241,241,241 243,243,243 251,251,251 252,252,252 250,250,250 230,230,230 253,253,253 242,242,242
6,6,6 1,1,1 224,224,224 237,237,237 225,225,225 223,223,223 5,5,5 0,0,0 229,229,229
11,11,11 0,0,0 251,251,251 247,247,247 235,235,235 244,244,244 0,0,0 4,4,4 255,255,255
3,3,3 4,4,4 246,246,246 251,251,251 242,242,242 235,235,235 0,0,0 8,8,8 247,247,247
3,3,3 3,3,3 211,211,211 208,208,208 220,220,220 203,203,203 8,8,8 2,2,2 200,200,200
2,2,2 0,0,0 1,1,1 1,1,1 6,6,6 5,5,5 2,2,2 2,2,2 252,252,252
2,2,2 0,0,0 252,252,252 251,251,251 248,248,248 252,252,252 1,1,1 0,0,0 254,254,254
6,6,6 4,4,4 243,243,243 255,255,255 248,248,248 245,245,245 11,11,11 4,4,4 249,249,249
2,2,2 2,2,2 255,255,255 253,253,253 241,241,241 253,253,253 1,1,1 0,0,0 250,250,250
2,2,2 2,2,2 251,251,251 250,250,250 251,251,251 251,251,251 2,2,2 2,2,2 255,255,255
4,4,4 0,0,0 226,226,226 231,231,231 239,239,239 221,221,221 6,6,6 6,6,6 240,240,240
242,242,242 239,239,239 251,251,251 236,236,236 245,245,245 249,249,249 241,241,241 242,242,242 255,255,255
