12 9
244,244,244 208,208,208 236,236,236 233,233,233 229,229,229 232,232,232 236,236,236 229,229,229 249,249,249
10,10,10 5,5,5 224,224,224 235,235,235 233,233,233 225,225,225 1,1,1 3,3,3 225,225,225
5,5,5 0,0,0 255,255,255 247,247,247 239,239,239 239,239,239 0,0,0 4,4,4 255,255,255
7,7,7 3,3,3 242,242,242 251,251,251 244,244,244 239,239,239 0,0,0 4,4,4 248,248,248
3,3,3 7,7,7 232,232,232 231,231,231 233,233,233 224,224,224 5,5,5 7,7,7 221,221,221
0,0,0 0,0,0 3,3,3 0,0,0 7,7,7 3,3,3 4,4,4 0,0,0 253,253,253
2,2,2 2,2,2 252,252,252 233,233,233 226,226,226 232,232,232 0,0,0 3,3,3 253,253,253
2,2,2 3,3,3 246,246,246 230,230,230 248,248,248 249,249,249 11,11,11 0,0,0 250,250,250
7,7,7 2,2,2 250,250,250 236,236,236 245,245,245 253,253,253 2,2,2 2,2,2 244,244,244
2,2,2 1,1,1 252,252,252 232,232,232 226,226,226 224,224,224 2,2,2 3,3,3 252,252,252
2,2,2 2,2,2 204,204,204 214,214,214 219,219,219 211,211,211 0,0,0 0,0,0 224,224,224
242,242,242 239,239,239 251,251,251 238,238,238 238,238,238 232,232,232 250,250,250 227,227,227 255,255,255
