12 9
252,252,252 254,254,254 249,249,249 251,251,251 253,253,253 253,253,253 222,222,222 255,255,255 245,245,245
2,2,2 0,0,0 236,236,236 255,255,255 251,251,251 254,254,254 212,212,212 246,246,246 250,250,250
6,6,6 2,2,2 253,253,253 255,255,255 239,239,239 250,250,250 226,226,226 250,250,250 254,254,254
0,0,0 2,2,2 241,241,241 255,255,255 250,250,250 246,246,246 234,234,234 246,246,246 247,247,247
0,0,0 10,10,10 228,228,228 218,218,218 223,223,223 219,219,219 219,219,219 194,194,194 194,194,194
14,14,14 0,0,0 255,255,255 254,254,254 254,254,254 252,252,252 255,255,255 219,219,219 252,252,252
7,7,7 0,0,0 249,249,249 255,255,255 247,247,247 253,253,253 249,249,249 223,223,223 255,255,255
7,7,7 10,10,10 254,254,254 251,251,251 252,252,252 254,254,254 250,250,250 209,209,209 244,244,244
8,8,8 2,2,2 242,242,242 249,249,249 249,249,249 253,253,253 250,250,250 225,225,225 250,250,250
4,4,4 4,4,4 255,255,255 248,248,248 248,248,248 247,247,247 243,243,243 229,229,229 246,246,246
0,0,0 2,2,2 0,0,0 15,15,15 2,2,2 0,0,0 15,15,15 207,207,207 249,249,249
255,255,255 251,251,251 250,250,250 226,226,226 246,246,246 248,248,248 244,244,244 241,241,241 249,249,249
