12 9
245,245,245 222,222,222 235,235,235 230,230,230 230,230,230 232,232,232 211,211,211 229,229,229 242,242,242
8,8,8 7,7,7 236,236,236 252,252,252 246,246,246 251,251,251 4,4,4 3,3,3 251,251,251
7,7,7 0,0,0 251,251,251 251,251,251 243,243,243 249,249,249 0,0,0 1,1,1 255,255,255
10,10,10 3,3,3 245,245,245 247,247,247 241,241,241 251,251,251 0,0,0 8,8,8 249,249,249
3,3,3 6,6,6 228,228,228 228,228,228 234,234,234 227,227,227 5,5,5 5,5,5 220,220,220
2,2,2 0,0,0 4,4,4 1,1,1 4,4,4 5,5,5 1,1,1 2,2,2 251,251,251
0,0,0 3,3,3 251,251,251 234,234,234 229,229,229 232,232,232 1,1,1 3,3,3 253,253,253
6,6,6 1,1,1 248,248,248 230,230,230 249,249,249 250,250,250 6,6,6 4,4,4 249,249,249
9,9,9 2,2,2 250,250,250 234,234,234 242,242,242 253,253,253 2,2,2 1,1,1 247,247,247
0,0,0 1,1,1 252,252,252 232,232,232 229,229,229 226,226,226 0,0,0 3,3,3 252,252,252
3,3,3 2,2,2 199,199,199 214,214,214 217,217,217 205,205,205 6,6,6 6,6,6 221,221,221
249,249,249 255,255,255 255,255,255 240,240,240 242,242,242 230,230,230 242,242,242 227,227,227 255,255,255
