5 12
255,255,255 252,252,252 237,237,237 247,247,247 255,255,255
192,192,192 251,251,251 255,255,255 255,255,255 191,191,191
255,255,255 255,255,255 255,255,255 255,255,255 255,255,255
194,194,194 249,249,249 247,247,247 250,250,250 203,203,203
197,197,197 179,179,179 185,185,185 199,199,199 191,191,191
178,178,178 208,208,208 186,186,186 206,206,206 169,169,169
249,249,249 255,255,255 253,253,253 252,252,252 255,255,255
197,197,197 255,255,255 250,250,250 193,193,193 252,252,252
252,252,252 243,243,243 255,255,255 255,255,255 234,234,234
203,203,203 241,241,241 255,255,255 187,187,187 255,255,255
247,247,247 252,252,252 255,255,255 234,234,234 255,255,255
193,193,193 255,255,255 250,250,250 186,186,186 255,255,255
