5 12
251,251,251 188,188,188 253,253,253 255,255,255 255,255,255
255,255,255 251,251,251 247,247,247 255,255,255 252,252,252
255,255,255 193,193,193 245,245,245 254,254,254 244,244,244
255,255,255 253,253,253 249,249,249 253,253,253 252,252,252
252,252,252 179,179,179 200,200,200 209,209,209 179,179,179
249,249,249 254,254,254 255,255,255 255,255,255 252,252,252
244,244,244 194,194,194 192,192,192 255,255,255 245,245,245
246,246,246 255,255,255 241,241,241 255,255,255 242,242,242
246,246,246 197,197,197 183,183,183 255,255,255 255,255,255
255,255,255 255,255,255 245,245,245 255,255,255 249,249,249
186,186,186 184,184,184 192,192,192 255,255,255 249,249,249
241,241,241 255,255,255 240,240,240 243,243,243 245,245,245
