12 9
255,255,255 253,253,253 248,248,248 253,253,253 248,248,248 255,255,255 255,255,255 250,250,250 255,255,255
243,243,243 255,255,255 248,248,248 6,6,6 16,16,16 255,255,255 241,241,241 248,248,248 247,247,247
227,227,227 255,255,255 1,1,1 0,0,0 0,0,0 241,241,241 255,255,255 255,255,255 238,238,238
255,255,255 0,0,0 0,0,0 20,20,20 15,15,15 246,246,246 246,246,246 241,241,241 249,249,249
250,250,250 255,255,255 249,249,249 0,0,0 0,0,0 255,255,255 255,255,255 185,185,185 214,214,214
252,252,252 244,244,244 255,255,255 0,0,0 13,13,13 249,249,249 247,247,247 196,196,196 242,242,242
255,255,255 243,243,243 255,255,255 0,0,0 0,0,0 255,255,255 253,253,253 196,196,196 254,254,254
251,251,251 255,255,255 247,247,247 12,12,12 5,5,5 255,255,255 249,249,249 182,182,182 248,248,248
255,255,255 231,231,231 246,246,246 0,0,0 0,0,0 255,255,255 255,255,255 197,197,197 240,240,240
234,234,234 255,255,255 255,255,255 2,2,2 3,3,3 242,242,242 241,241,241 202,202,202 253,253,253
196,196,196 0,0,0 0,0,0 0,0,0 4,4,4 6,6,6 9,9,9 163,163,163 255,255,255
255,255,255 255,255,255 255,255,255 206,206,206 223,223,223 255,255,255 252,252,252 211,211,211 250,250,250
