12 9
255,255,255 243,243,243 255,255,255 254,254,254 193,193,193 255,255,255 255,255,255 174,174,174 255,255,255
0,0,0 1,1,1 189,189,189 194,194,194 201,201,201 239,239,239 0,0,0 9,9,9 219,219,219
11,11,11 4,4,4 243,243,243 255,255,255 251,251,251 251,251,251 4,4,4 8,8,8 250,250,250
0,0,0 0,0,0 255,255,255 243,243,243 234,234,234 227,227,227 0,0,0 0,0,0 209,209,209
0,0,0 0,0,0 253,253,253 255,255,255 255,255,255 182,182,182 7,7,7 14,14,14 255,255,255
11,11,11 3,3,3 245,245,245 249,249,249 250,250,250 185,185,185 0,0,0 0,0,0 255,255,255
0,0,0 4,4,4 243,243,243 255,255,255 246,246,246 197,197,197 0,0,0 0,0,0 255,255,255
8,8,8 5,5,5 255,255,255 255,255,255 237,237,237 197,197,197 3,3,3 13,13,13 255,255,255
6,6,6 3,3,3 237,237,237 249,249,249 255,255,255 172,172,172 11,11,11 0,0,0 217,217,217
194,194,194 0,0,0 8,8,8 255,255,255 241,241,241 14,14,14 0,0,0 250,250,250 255,255,255
183,183,183 255,255,255 0,0,0 0,0,0 15,15,15 0,0,0 247,247,247 244,244,244 249,249,249
179,179,179 223,223,223 174,174,174 183,183,183 189,189,189 182,182,182 253,253,253 255,255,255 251,251,251
