12 9
251,251,251 236,236,236 238,238,238 236,236,236 218,218,218 241,241,241 239,239,239 206,206,206 248,248,248
228,228,228 211,211,211 223,223,223 7,7,7 5,5,5 248,248,248 249,249,249 219,219,219 253,253,253
243,243,243 244,244,244 7,7,7 2,2,2 1,1,1 247,247,247 246,246,246 212,212,212 244,244,244
251,251,251 1,1,1 2,2,2 6,6,6 4,4,4 232,232,232 223,223,223 212,212,212 231,231,231
220,220,220 238,238,238 251,251,251 2,2,2 9,9,9 224,224,224 252,252,252 209,209,209 234,234,234
237,237,237 238,238,238 251,251,251 2,2,2 5,5,5 223,223,223 251,251,251 222,222,222 251,251,251
219,219,219 235,235,235 255,255,255 0,0,0 0,0,0 222,222,222 238,238,238 218,218,218 250,250,250
223,223,223 248,248,248 249,249,249 3,3,3 8,8,8 222,222,222 253,253,253 218,218,218 249,249,249
233,233,233 239,239,239 250,250,250 5,5,5 0,0,0 226,226,226 245,245,245 214,214,214 249,249,249
219,219,219 254,254,254 252,252,252 2,2,2 2,2,2 217,217,217 242,242,242 220,220,220 252,252,252
190,190,190 4,4,4 0,0,0 5,5,5 0,0,0 4,4,4 1,1,1 209,209,209 242,242,242
214,214,214 232,232,232 224,224,224 197,197,197 231,231,231 212,212,212 248,248,248 226,226,226 254,254,254
